id,title,company,location,date_posted,job_type,interval,min_amount,max_amount,currency,is_remote,company_industry,city,seniority,year_exp,education,description
0,AI Researcher,Amazon,Berlin,2026-01-10,full-time,yearly,78228,100807,GBP,True,Tech,New York,senior,4,master,We are looking for a senior AI Researcher at Amazon (Berlin). Lead research projects on foundational AI topics aligned with long-term product goals. Mentor junior researchers and foster a culture of intellectual curiosity. Engage with external academic partners and represent the company at conferences.
1,Data Analyst,Microsoft,Madrid,2025-10-05,internship,yearly,37636,46930,USD,False,Finance,New York,junior,12,master,"Join Microsoft in Madrid as a junior team member. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
2,AI Researcher,Amazon,London,2025-07-12,internship,yearly,119781,127460,USD,False,Industrial,London,lead,2,bachelor,"Lead a high-impact team at Amazon in London. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
3,Data Analyst,Microsoft,Berlin,2026-04-11,part-time,yearly,108810,126050,GBP,False,Consulting,Paris,lead,1,unknown,Lead a high-impact team at Microsoft in Berlin. Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
4,ML Engineer,Airbus,Paris,2025-09-09,internship,yearly,61112,102620,EUR,True,Industrial,Berlin,senior,10,master,We are looking for a senior ML Engineer at Airbus (Paris). Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
5,ML Engineer,BNP Paribas,Paris,2026-03-11,full-time,yearly,35519,56887,USD,False,Industrial,London,junior,4,bachelor,"Join BNP Paribas in Paris as a junior team member. Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
6,Data Analyst,Amazon,Berlin,2025-05-11,full-time,yearly,32098,50371,EUR,True,Finance,Berlin,junior,1,bachelor,"Join Amazon in Berlin as a junior team member. Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
7,Data Scientist,Google,Paris,2025-04-12,full-time,yearly,37603,49823,USD,False,Consulting,Berlin,junior,6,unknown,Join Google in Paris as a junior team member. Apply statistical modeling and machine learning to extract insights from large datasets. Collaborate with engineering and product teams to deploy predictive models into production. Communicate findings clearly through data visualizations and business recommendations.
8,Data Scientist,Airbus,Madrid,2026-04-01,internship,yearly,1295,2186,GBP,False,Consulting,Berlin,intern,0,phd,"As an intern at Airbus in Madrid, you will Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback."
9,ML Engineer,Microsoft,Berlin,2025-09-20,full-time,yearly,31386,52084,EUR,False,Finance,New York,junior,2,phd,"Join Microsoft in Berlin as a junior team member. Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
10,AI Researcher,Airbus,Paris,2025-12-08,full-time,yearly,72520,108199,GBP,False,Tech,Madrid,senior,8,master,"We are looking for a senior AI Researcher at Airbus (Paris). Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
11,Data Engineer,BNP Paribas,London,2026-01-25,internship,yearly,30620,56085,USD,False,Tech,Madrid,junior,12,unknown,"Join BNP Paribas in London as a junior team member. Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
12,AI Researcher,Google,London,2026-03-07,part-time,yearly,77694,91037,GBP,False,Finance,New York,senior,6,unknown,"We are looking for a senior AI Researcher at Google (London). Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
